Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Waikato","Gordonton","Gordonton School, 50 Woodlands Road",0,1,0,1,0,13,0,3,0,0,0,0,0,0,0,0,0,18,0
"Waikato","Huntly","Huntly Central (next to Colourplus), 102A Main Street",1,0,0,1,0,18,3,0,0,0,0,0,0,0,0,0,1,24,1
"Waikato","Huntly","Huntly Civic Centre, Riverside Room, 148 Main Street",0,4,2,2,0,38,10,1,0,4,0,0,0,0,0,0,2,63,1
"Waikato","Huntly","Huntly Primary School, 25 Onslow Street",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0
"Waikato","Huntly","Huntly West Primary School, Paki Street",1,1,0,0,0,29,2,2,0,1,0,0,0,0,0,0,0,36,0
"Waikato","Huntly","Kimihia School, 3 Tamihana Avenue",0,0,0,3,0,14,0,0,0,3,0,0,0,0,0,0,0,20,0
"Waikato","Huntly West","Te Wharekura O Rakaumanga, 26 McDiarmid Crescent",0,2,0,3,0,24,6,0,0,1,0,0,0,0,0,0,0,36,2
"Waikato","Matamata","Matamata College, 121 Firth Street",0,1,0,1,0,12,0,3,0,1,0,0,0,0,0,0,0,18,1
"Waikato","Matamata","Matamata-Piako Civic and Memorial Centre, 11 Tainui Street",0,1,1,1,0,24,7,3,1,2,0,0,0,0,0,0,0,40,0
"Waikato","Matamata","Matamata Primary School, 115a Broadway",0,1,1,1,0,12,2,3,0,0,0,0,0,0,0,1,0,21,0
"Waikato","Matamata","Matamata St John Hall, 1 Ngaio Street",0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,6,0
"Waikato","Matangi","Matangi School, 599 Matangi Road",1,0,0,0,0,14,1,2,0,2,0,0,0,0,0,2,0,22,0
"Waikato","Morrinsville","David Street School, 45 David Street",1,0,0,1,0,24,0,7,0,3,0,0,0,0,0,0,0,36,0
"Waikato","Morrinsville","Morrinsville College, Agri Innovation Centre, North Street",0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0
"Waikato","Morrinsville","Morrinsville Methodist Church Hall, 318 Thames Street",1,0,1,2,0,20,1,5,0,2,0,0,0,0,0,0,1,33,0
"Waikato","Morrinsville","Ngāti Hauā Iwi Trust (behind Airey & Bendall Optometrists), 19A Allen Street",0,0,0,1,0,30,2,0,0,1,0,3,0,0,0,1,1,39,1
"Waikato","Motumaoho","Motumaoho School (Room 1), 2101 Hamilton Road",0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,7,0
"Waikato","Newstead","Newstead School, 426 Morrinsville Road",1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,8,0
"Waikato","Ngāruawāhia","Ngāruawāhia Primary School, Galileo Street",1,0,1,2,0,27,7,1,1,1,0,0,0,0,0,1,0,42,0
"Waikato","Ngāruawāhia","Ngāruawāhia War Memorial Hall, 5 Galileo Street",0,2,1,1,0,50,12,1,0,3,0,0,0,0,0,0,1,71,5
"Waikato","Ngāruawāhia","Turangawaewae Marae, 29 River Road",0,3,1,2,0,54,7,1,0,2,0,0,0,0,0,1,2,73,4
"Waikato","Ngāruawāhia","Waipa School, Kia Toa Street",1,2,0,2,0,27,6,0,1,1,1,0,0,0,0,2,0,43,1
"Waikato","Okauia","Okauia Hall, 375 Okauia Springs Road",0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0
"Waikato","Rototuna North","Te Totara Primary School, 31 Hector Drive",0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,6,0
"Waikato","Tamahere","Tamahere Li'l Pumpkins Learning Centre, 48A Devine Road",2,4,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,16,0
"Waikato","Tatuanui","Tatuanui War Memorial Hall, 4518 State Highway 27",1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,7,0
"Waikato","Taupiri","Taupiri Soldiers and Settlers Hall, 12 Te Putu Street",1,1,0,0,0,17,3,3,0,1,0,0,0,0,0,0,0,26,1
"Waikato","Tauwhare","Tauwhare School, 26 Scotmans Valley Road",1,0,0,0,0,13,2,1,0,1,0,0,0,0,0,0,1,19,1
"Waikato","Te Aroha","Silver Fern Farms Events Centre (Seales Winslow and Ballance Rooms), 44 Stanley Avenue",0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,14,0
"Waikato","Te Aroha","Te Aroha St Joseph's Parish Hall, 224 Whittaker Street",0,2,0,3,0,30,1,0,1,4,0,0,0,0,0,0,0,41,0
"Waikato","Te Poi","Te Poi Playcentre, 5 Temm Road",0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,6,1
"Waikato","Waerenga","Waerenga School, 1066 Taniwha Road",0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,8,0
"Waikato","Waharoa","Te Kura O Waharoa, 32 Ward Street",0,0,1,4,0,45,11,0,0,2,0,1,0,0,0,0,0,64,5
"Waikato","Walton","Walton School, 305 Walton Road",0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,6,0
"East Coast","Gisborne","Awapuni School, 129 Awapuni Road",1,0,0,1,0,21,5,0,0,1,0,0,0,0,0,0,0,29,0
"East Coast","Gisborne","Cobham School, 274 Lytton Road",0,2,3,2,0,62,9,0,0,2,0,0,0,0,0,1,1,82,1
"East Coast","Gisborne","Elgin School, 2 Knox Street",0,3,0,10,0,82,5,0,0,1,0,0,0,0,0,0,0,101,4
"East Coast","Gisborne","Gisborne Boys High School, 80 Stanley Road",1,0,4,11,0,105,21,6,1,6,1,2,0,0,0,1,1,160,1
"East Coast","Gisborne","Gisborne Central School Hall, 7 Central Street",1,0,0,6,0,29,4,2,0,1,0,0,0,0,0,0,0,43,0
"East Coast","Gisborne","Gisborne Hospital, Poutama Room, 421 Ormond Road",2,3,3,4,0,32,4,0,0,1,0,2,0,0,0,0,0,51,0
"East Coast","Gisborne","Ilminster Intermediate, 70 De Lautour Road",0,3,0,10,0,95,15,1,0,8,1,0,0,0,0,1,0,134,3
"East Coast","Gisborne","Kaiti School, 517 Wainui Road",0,6,2,11,0,91,17,3,0,10,0,2,0,0,0,1,1,144,0
"East Coast","Gisborne","Lawson Field Theatre, 7 Fitzherbert Street",0,1,0,2,0,17,7,1,0,3,0,1,0,0,0,1,0,33,1
"East Coast","Gisborne","Makaraka School, 137 Main Road South",1,0,0,3,0,22,3,2,0,2,0,0,0,0,0,0,1,34,0
"East Coast","Gisborne","Makauri School, 120 King Road",0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,2,0,8,1
"East Coast","Gisborne","Mangapapa School Hall, 5 Rua Street",0,3,1,3,0,44,6,3,1,1,0,0,0,0,0,1,0,63,0
"East Coast","Gisborne","Ormond School, 45 Whitmore Road",0,1,0,1,0,15,1,3,1,0,0,0,0,0,0,0,0,22,0
"East Coast","Gisborne","Riverdale School Hall, 324 Stout Street",1,1,2,5,0,77,5,0,0,4,0,1,0,0,0,0,0,96,1
"East Coast","Gisborne","Te Hapara School, 31 Mill Road",2,0,1,4,0,50,7,2,0,8,0,1,0,0,0,0,0,75,2
"East Coast","Gisborne","Te Tihi o Titirangi Kōhanga Reo, 24 Ranfurly Street",0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,9,2
"East Coast","Gisborne","Te Whakaruruhau Kōhanga Reo, 170 Tyndall Road",0,2,1,2,0,18,1,0,0,0,0,0,0,0,0,0,0,24,3
"East Coast","Gisborne","Treble Court One, Peel Street",0,4,5,13,0,64,19,1,1,6,1,3,0,0,0,0,0,117,0
"East Coast","Gisborne","Waikirikiri School, 7 Pickering Street",0,3,0,3,0,41,4,0,0,6,0,0,0,0,0,0,0,57,2
"East Coast","Gisborne","Wainui Beach School, 56 Wairere Road",0,2,0,2,0,10,1,1,0,1,0,0,0,0,0,0,0,17,0
"East Coast","Hicks Bay","Te Kura Kaupapa Māori o Kawakawa mai Tawhiti, 22 Wharf Road",0,1,0,9,0,49,26,1,0,3,0,2,0,0,0,0,0,91,2
"East Coast","Manutuke","Manutuke School, 59 Waingake Road",0,0,0,5,0,45,4,1,0,3,0,0,0,0,0,0,1,59,2
"East Coast","Patutahi","Patutahi School, 29 Atkins Street",1,0,0,1,0,33,7,1,0,11,0,0,0,1,0,1,0,56,1
"East Coast","Ruatoria","Ngata Memorial College, 1 College Road North",1,6,1,13,0,80,34,2,0,15,1,1,0,0,0,0,0,154,7
"East Coast","Te Araroa","Te Waha O Rerekohu Area School, 3 Arewhana Street",1,5,1,10,0,74,21,0,0,9,1,1,0,0,0,0,0,123,1
"East Coast","Te Karaka","Te Karaka Area School, 5 Kanakanaia Road",0,1,1,3,0,64,7,0,1,6,0,0,0,0,0,0,0,83,1
"East Coast","Tikitiki","Tikitiki School, 33 Rangitukia Road",0,1,2,8,0,60,12,0,0,4,0,0,0,0,0,1,0,88,0
"East Coast","Tokomaru Bay","Hatea-A-Rangi School, 6 School Road",0,2,1,9,0,90,27,2,0,14,0,0,0,0,0,0,0,145,2
"East Coast","Tolaga Bay","Tolaga Bay Area School Kahukuranui Block, Discovery Street",2,0,1,7,0,128,7,3,0,3,1,0,0,0,0,0,0,152,4
"East Coast","Whangara","Whangara School, 44 Pa Road",0,0,1,0,0,13,0,1,0,1,0,0,0,0,0,0,0,16,0
"East Coast","Whatatutu","Whatatutu School, 24 Te Hau Road",1,2,0,1,0,35,4,1,0,1,0,0,0,0,0,0,1,46,1
