"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Christchurch Central",NA,"Rest Homes & Southern Cross Hospital Team 1","Advance",3,1,0,4,0,16,0,178,0,2,275,21,1,0,0,1,502,7
"Christchurch Central","Beckenham","South Christchurch Library, 66 Colombo Street","Advance",2,2,0,6,1,215,2,605,0,0,453,65,0,1,42,2,1396,1
"Christchurch Central","Bishopdale","Ōrauwhata Bishopdale Library & Community Centre, 13 Bishopdale Court","Advance",2,1,1,2,0,16,0,96,0,1,127,18,0,0,7,1,272,1
"Christchurch Central","Burwood","Burwood Hospital, 300 Burwood Road","Advance",0,2,0,0,0,9,0,106,0,0,87,14,0,0,5,0,223,0
"Christchurch Central","Christchurch","Christchurch Mobile Voting Facility One, Central Christchurch and South City Mall","Advance",4,1,0,0,0,26,0,108,0,0,81,10,0,0,5,0,235,0
"Christchurch Central","Christchurch","Hospital Mobile Team - Taken in Christchurch Central","Advance",1,0,0,0,0,6,0,73,0,0,97,13,0,0,1,1,192,1
"Christchurch Central","Christchurch Airport","Christchurch International Airport, International Departure Lounge, 30 Durey Road","Advance",0,0,0,0,0,6,0,16,0,0,23,1,0,0,1,0,47,0
"Christchurch Central","Christchurch City","Ara Institute of Canterbury, Rakaia Building Foyer, 130 Madras Street","Advance",0,2,0,2,0,98,1,214,0,3,135,15,0,0,30,0,500,3
"Christchurch Central","Christchurch City","Central Library, 91 Peterborough Street","Advance",4,1,0,2,0,227,0,548,0,3,531,51,0,0,41,0,1408,4
"Christchurch Central","Christchurch City","Christchurch City Council, Civic Offices Foyer, 53 Hereford Street","Advance",6,1,0,0,0,110,0,219,0,2,268,20,1,0,39,1,667,0
"Christchurch Central","Christchurch City","Christchurch Public Hospital, Great Escape Café, 2 Riccarton Avenue","Advance",1,1,0,1,0,45,0,188,0,3,150,16,0,1,22,1,429,0
"Christchurch Central","Fendalton","Fendalton Library, corner Jeffreys & Clyde Roads","Advance",1,0,0,0,0,18,0,55,0,1,161,6,0,0,3,0,245,0
"Christchurch Central","Harewood","Electorate Headquarters, 100 Orchard Road","Advance",0,0,0,0,0,7,0,28,0,0,45,5,0,0,3,0,88,0
"Christchurch Central","Ilam","University of Canterbury, James Hight Library, Ilam Campus, Ilam Road","Advance",3,1,0,5,0,89,0,114,0,4,64,8,0,1,23,3,315,1
"Christchurch Central","Linwood","Eastgate Mall, Shop 66, Ground Floor, 20 Buckleys Road","Advance",5,4,1,2,1,94,0,720,1,9,314,104,0,1,35,3,1294,12
"Christchurch Central","New Brighton","New Brighton Library, Pier, 213 Marine Parade","Advance",0,0,0,0,0,7,0,23,1,0,12,3,0,0,3,0,49,0
"Christchurch Central","Papanui","North City Church, 95a Sawyers Arms Road","Advance",0,0,0,1,0,13,0,169,0,5,169,17,0,0,11,0,385,0
"Christchurch Central","Papanui","Northlands Shopping Mall, Hoyts Cinema Entrance, Main North Road","Advance",6,3,0,5,0,168,0,863,0,10,1136,149,2,0,38,3,2383,5
"Christchurch Central","Redwood","St Lukes Community Hall, 278 Main North Road","Advance",3,0,2,5,0,27,0,422,0,1,456,94,1,0,8,0,1019,3
"Christchurch Central","Riccarton","Riccarton Westfield, Centre Court, Ground Floor","Advance",3,2,2,4,0,61,0,317,0,3,319,16,0,3,35,0,765,3
"Christchurch Central","Shirley","Shirley Library, 36 Marshland Road","Advance",4,2,0,3,0,88,0,473,2,0,322,73,0,1,18,1,987,3
"Christchurch Central","Somerfield","Pioneer Recreation & Sport Centre Lounge, 1st Floor, 75 Lyttelton Street","Advance",1,0,0,1,0,15,0,39,0,0,31,6,0,0,5,0,98,0
"Christchurch Central","Spreydon","Barrington Mall, Centre Court, 256 Barrington Street","Advance",2,4,0,1,0,29,0,232,0,0,154,33,0,0,17,0,472,1
"Christchurch Central","Sumner","Sumner Library, corner Nayland Street & Wakefield Avenue","Advance",0,0,0,0,0,4,0,14,0,0,8,2,0,0,2,0,30,0
"Christchurch Central","Upper Riccarton","Upper Riccarton Community & School Library, 71 Main South Road","Advance",0,0,0,0,0,5,0,20,0,0,28,1,0,0,4,0,58,0
"Christchurch Central","Woolston","Ara Christchurch, Woolston Campus, corner Ensors Road & Sullivan Avenue","Advance",0,0,0,0,0,11,0,28,0,0,23,6,0,0,3,0,71,1
"Christchurch Central","Woolston","The Tannery Metropolitan Lounge, 3 Garlands Road","Advance",0,0,1,1,0,6,0,13,0,0,13,3,0,0,5,0,42,0
"Christchurch Central","Woolston","Hospital & Rest Homes Team - Taken in Christchurch East","Advance",0,0,0,0,0,1,0,7,0,0,8,1,0,0,0,0,17,0
"Christchurch Central","Addington","Addington School, Brougham Street (Simeon Street entrance)","Regular",0,0,0,0,0,3,0,20,0,0,7,3,0,0,3,0,36,0
