"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Ikaroa-Rāwhiti","Masterton","Electorate Headquarters, Ground Floor, Departmental Building, 31-35 Chapel Street","Advance",0,0,0,0,0,6,0,73,0,28,8,9,0,0,8,0,132,2
"Ikaroa-Rāwhiti","Masterton","UCOL Cafe & Student Centre, 143-159 Chapel Street","Advance",0,0,0,0,0,0,0,8,0,1,1,2,0,0,0,0,12,0
"Ikaroa-Rāwhiti","Pahiatua","Tararua District Council Chambers, 136 Main Street","Advance",1,3,0,0,0,2,1,36,0,2,8,9,1,0,3,0,66,0
"Ikaroa-Rāwhiti","Waipukurau","The Chook House, 4 Northumberland Street","Advance",0,0,0,0,0,12,0,120,0,16,14,16,0,0,3,0,181,3
"Ikaroa-Rāwhiti","Woodville","Woodville Event Centre, Vogel Street, Recreation Reserve","Advance",0,0,0,0,0,1,0,15,0,1,0,7,0,0,0,0,24,0
"Ikaroa-Rāwhiti","Wellington City","Asteron Centre Foyer, 55 Featherston Street","Advance",1,0,0,0,0,8,0,46,0,6,6,2,0,0,5,0,74,0
"Ikaroa-Rāwhiti","Gisborne","Awapuni School, 129 Awapuni Road","Advance",0,0,1,0,0,6,0,35,0,7,2,9,0,0,4,0,64,1
"Ikaroa-Rāwhiti","Gisborne","Elgin School, 2 Knox Street","Advance",2,2,1,0,0,12,0,138,4,20,8,13,0,0,4,0,204,1
"Ikaroa-Rāwhiti","Gisborne","Gisborne Boys High School, 80 Stanley Road","Advance",0,2,0,0,0,18,0,125,0,19,6,13,0,0,3,0,186,3
"Ikaroa-Rāwhiti","Gisborne","Gisborne Central School Hall, 7 Central Street","Advance",0,0,0,0,0,3,0,38,1,3,10,2,0,0,3,0,60,0
"Ikaroa-Rāwhiti","Gisborne","Gisborne District Council, 39 Gladstone Road","Advance",0,2,0,0,0,6,0,59,0,8,4,4,0,0,5,0,88,1
"Ikaroa-Rāwhiti","Gisborne","Gisborne Hospital, Poutama Room, 421 Ormond Road","Advance",0,0,0,0,0,5,0,32,0,5,3,0,0,0,2,0,47,1
"Ikaroa-Rāwhiti","Gisborne","Ilminster Intermediate, 70 De Lautour Road","Advance",0,5,1,0,1,16,0,264,5,34,11,25,0,0,4,0,366,4
"Ikaroa-Rāwhiti","Gisborne","Kaiti School, 517 Wainui Road","Regular",0,5,0,0,0,17,0,307,3,39,17,33,1,0,3,0,425,7
"Ikaroa-Rāwhiti","Gisborne","Makaraka School, 137 Main Road South","Regular",0,0,0,0,0,0,0,25,0,2,7,2,0,0,2,0,38,0
"Ikaroa-Rāwhiti","Gisborne","Makauri School, 120 King Road","Regular",0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,11,2
"Ikaroa-Rāwhiti","Gisborne","Mangapapa School Staffroom, 5 Rua Street","Regular",0,1,0,0,0,6,0,87,1,19,8,10,0,0,5,0,137,5
"Ikaroa-Rāwhiti","Gisborne","Ormond School, 45 Whitmore Road","Regular",0,0,0,0,0,1,0,12,1,0,5,0,0,0,1,0,20,0
"Ikaroa-Rāwhiti","Gisborne","Riverdale School Hall, 324 Stout Street","Regular",1,2,0,0,0,5,0,130,1,20,4,7,0,0,3,0,173,3
"Ikaroa-Rāwhiti","Gisborne","Tairawhiti Museum, 10 Stout Street","Regular",0,0,0,0,0,4,0,39,2,11,10,4,0,0,1,0,71,1
"Ikaroa-Rāwhiti","Gisborne","Te Hapara School, 31 Mill Road","Regular",0,0,0,1,0,1,0,79,0,13,6,13,0,0,0,0,113,0
"Ikaroa-Rāwhiti","Gisborne","Wainui Beach School, 56 Wairere Road","Regular",0,0,0,0,0,1,0,18,0,3,3,4,0,0,0,0,29,0
"Ikaroa-Rāwhiti","Hicks Bay","Te Kura Kaupapa Māori o Kawakawa mai Tawhiti, 22 Wharf Road","Regular",0,0,0,1,0,3,0,51,0,24,3,3,0,0,2,0,87,1
