"Electorate","Place","Address","Type","ACT New Zealand","Advance NZ","Aotearoa Legalise Cannabis Party","Green Party","HeartlandNZ","Labour Party","Māori Party","National Party","New Conservative","New Zealand First Party","NZ Outdoors Party","ONE Party","Social Credit","Sustainable New Zealand Party","TEA Party","The Opportunities Party (TOP)","Vision New Zealand","Total Valid Party Votes","Informal Party Votes"
"Tauranga","Tauriko","Hello World, Tauranga Crossing, Tauranga Crossing Shopping Centre","Regular",8,2,0,2,0,35,1,41,1,1,3,1,0,0,0,2,0,97,1
"Tauranga","Tauriko","Tauranga Crossing (ground floor next to H&M), Tauranga Crossing Shopping Centre","Regular",5,3,0,3,0,38,1,24,2,5,0,0,0,1,0,1,0,83,0
"Tauranga","Te Puna","Te Puna Memorial Hall, 3 Te Puna Road","Regular",1,1,0,0,0,5,0,6,2,1,0,0,0,0,0,1,0,17,0
"Tauranga","Te Puna","Te Puna School Hall, (corner Te Puna & Borell Roads)","Regular",0,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,9,0
"Tauranga","Te Puna","Welcome Bay Community Hall, 240 Welcome Bay Road","Regular",1,1,0,1,0,6,0,3,4,0,0,1,0,0,0,0,0,17,0
"Tauranga",NA,"Overseas Special Votes Including Defence Force - Tauranga","Special",39,37,4,125,0,445,5,145,8,14,4,1,0,1,0,27,0,855,0
"Tauranga",NA,"Overseas Votes Allowed for Party Only - Tauranga","Special",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
"Tauranga",NA,"Special Votes BEFORE Polling Day - Tauranga","Special",251,63,27,257,0,1818,20,1093,71,111,4,12,1,3,2,92,6,3831,35
"Tauranga",NA,"Special Votes ON Polling Day - Tauranga","Special",129,38,21,100,0,796,17,436,29,45,3,7,0,0,0,50,5,1676,22
"Tauranga",NA,"Votes Allowed for Party Only - Tauranga","Special",18,15,7,14,0,199,3,72,3,12,1,1,0,1,0,10,6,362,7
"Tauranga",NA,"Voting places where less than 6 votes were taken","Special",2,0,0,3,0,7,0,9,0,0,1,0,0,0,0,0,0,22,0
"Te Atatū","Glendene","Glendene School, 60 Barrys Road","Advance",0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,7,0
"Te Atatū","Glendene","Methodist Centre of the West, 302 West Coast Road","Advance",2,0,1,6,0,28,0,8,0,2,1,1,0,0,0,0,0,49,0
"Te Atatū","Glendene","Our Lady of Lourdes Catholic Church, 7 Glendale Road","Advance",1,1,0,5,0,63,0,11,2,1,0,1,1,0,0,0,1,87,3
"Te Atatū","Henderson","Henderson North School, 14 Norval Road","Advance",8,0,0,3,0,84,0,27,0,5,0,0,0,0,0,2,0,129,2
"Te Atatū","Henderson","Henderson South School, 24 Garelja Road","Advance",8,0,0,8,0,75,1,19,2,0,1,0,0,0,0,0,0,114,0
"Te Atatū","Henderson","Holy Cross Catholic School, 8 Lavelle Road","Advance",4,0,0,5,0,59,0,21,5,6,0,0,0,0,0,4,0,104,1
"Te Atatū","Henderson","Te Pai Centre Waitākere Netball, 31-35 Te Pai Place","Advance",103,17,5,105,0,1159,8,438,36,52,1,8,2,1,3,20,0,1958,21
"Te Atatū","Henderson","Waitākere Central Library, 3 Ratanui Street","Advance",48,8,6,63,0,507,5,184,13,18,0,11,0,2,8,10,0,883,10
"Te Atatū","Henderson","Waitākere College, 42 Rathgar Road (Gate 2)","Advance",11,2,1,9,0,181,1,79,7,12,0,4,0,0,1,2,0,310,7
"Te Atatū","Henderson","West City Mall, Level 1 (former Life Pharmacy shop), 7 Catherine Street","Advance",185,17,5,226,1,3051,16,1084,66,115,2,18,0,3,22,41,4,4856,52
"Te Atatū","Lincoln North","Pomaria Primary School, 33a Pomaria Road","Advance",8,0,1,17,0,144,1,37,3,5,0,1,0,0,2,1,0,220,1
"Te Atatū","Massey","Massey Community Hub Massey Matters, Massey West, 385 Don Buck Road","Advance",6,1,1,12,0,70,2,20,2,8,1,0,0,0,0,2,0,125,1
"Te Atatū","Massey","Massey High School, Massey West, 274 Don Buck Road","Advance",12,1,0,16,0,147,2,59,0,1,0,0,1,0,1,5,0,245,1
"Te Atatū","Massey","Massey Methodist Church, Massey West, 112 Waimumu Road","Advance",3,0,0,5,0,29,0,7,1,2,0,0,0,0,1,0,0,48,1
"Te Atatū","Massey","Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street","Advance",19,3,1,16,0,184,1,50,5,4,0,0,0,0,0,3,0,286,2
"Te Atatū","Mt Albert","UNITEC, Te Puna, Building 180, 139 Carrington Road","Advance",0,0,0,7,0,24,0,14,1,2,0,0,0,0,0,0,0,48,0
"Te Atatū","New Lynn","Lynn Mall (former House of Travel shop), 3058 Great North Road","Advance",3,0,1,8,0,99,0,29,2,4,0,0,0,0,0,2,0,148,2
"Te Atatū","Newmarket","Newmarket Mall, S212, Level 2, 309 Broadway","Advance",5,0,0,5,0,47,0,15,0,2,0,0,0,0,1,1,0,76,0
"Te Atatū","Ranui","Birdwood School, 23 Karepo Crescent","Advance",2,1,0,3,0,54,0,15,0,3,0,0,0,0,0,1,0,79,1
"Te Atatū","Ranui","Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive","Advance",58,9,4,144,0,1139,5,236,20,44,1,3,1,1,1,6,0,1672,14
"Te Atatū","Ranui","Ranui Primary School, 16a Ranui Station Road","Advance",9,1,1,20,0,232,1,52,7,5,0,2,0,0,0,4,0,334,1
"Te Atatū","Sunnyvale","Kelston Community Centre, 126 Awaroa Road","Advance",8,0,0,10,0,164,1,36,1,8,1,2,0,0,2,0,1,234,0
"Te Atatū","Sunnyvale","Sunnyvale Primary School, 34 Ribblesdale Road","Advance",1,1,0,0,0,10,0,2,0,0,0,0,0,0,0,1,0,15,0
"Te Atatū","Swanson","Swanson School, 703 Swanson Road","Advance",27,1,2,31,0,211,1,62,2,4,0,0,1,0,0,4,0,346,1
"Te Atatū","Te Atatū Peninsula","Matipo Primary School, 63b Matipo Road","Advance",7,0,0,16,0,71,0,36,1,4,0,0,0,0,1,2,0,138,1
"Te Atatū","Te Atatū Peninsula","Rutherford Primary School, 2 Kotuku Street","Advance",11,1,0,7,0,74,1,32,2,7,0,1,0,0,0,4,0,140,0
"Te Atatū","Te Atatū Peninsula","Te Atatū Intermediate School, 8-12 Harbour View Road","Advance",16,1,1,14,0,110,0,48,2,3,1,0,1,0,0,2,0,199,0
"Te Atatū","Te Atatū Peninsula","Te Atatū Peninsula Community Centre, 595 Te Atatu Road","Advance",286,24,6,442,0,2252,38,898,54,108,2,7,0,2,5,62,4,4190,25
"Te Atatū","Te Atatū South","Edmonton Primary School, Corner School & Edmonton Roads","Advance",20,0,0,21,0,204,0,81,2,6,0,0,0,0,1,1,0,336,0
"Te Atatū","Te Atatū South","Flanshaw Road School, 51 Flanshaw Road","Advance",13,4,1,16,0,104,1,48,4,7,0,0,0,0,1,1,0,200,0
"Te Atatū","Te Atatū South","Rangeview Intermediate School, 5 Keru Place","Advance",13,2,1,18,1,133,2,61,4,2,0,0,0,0,1,7,0,245,1
"Te Atatū","Te Atatū South","St Giles Presbyterian Church, 1 Flanshaw Road","Advance",106,20,5,141,0,983,10,477,18,60,1,4,0,1,2,25,0,1853,15
"Te Atatū","Te Atatū South","Tirimoana School, 34 Kokiri Street","Advance",29,2,1,20,0,235,3,107,4,13,0,0,0,0,0,1,0,415,6
"Te Atatū","Western Heights","Sturges West Community House, 58 Summerland Drive","Advance",104,6,3,77,0,1059,9,627,45,30,1,5,0,2,6,17,0,1991,7
"Te Atatū","Western Heights","Western Heights School, 126 Sturges Road","Advance",43,1,0,27,0,300,1,160,8,8,0,1,0,1,7,4,0,561,4
"Te Atatū","Whenuapai","NorthWest Mall, Shop 20A, Maki Street","Advance",16,4,0,24,0,165,1,69,3,6,0,0,0,0,1,2,0,291,1
"Te Atatū","Whenuapai","Rest Homes Team - Taken in Te Atatū","Advance",7,1,0,11,0,146,0,74,2,11,0,0,0,0,0,0,0,252,5
"Te Atatū","Glendene","Glendene School, 60 Barrys Road","Regular",1,0,0,1,0,8,0,4,0,2,0,0,0,0,0,0,0,16,0
"Te Atatū","Glendene","Hoani Waititi Marae School, Te Whare Tapere, 441 West Coast Road","Regular",0,0,0,2,0,7,1,3,0,0,0,0,0,0,0,0,0,13,0
"Te Atatū","Glendene","Methodist Centre of the West, 302 West Coast Road","Regular",3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,8,1
"Te Atatū","Glendene","Our Lady of Lourdes Catholic Church, 7 Glendale Road","Regular",0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,9,0
"Te Atatū","Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road","Regular",3,0,0,3,0,31,2,6,2,3,0,0,0,0,0,0,0,50,0
"Te Atatū","Henderson","Henderson High School, 31 Henderson Valley Road","Regular",6,1,0,6,0,99,0,30,4,4,0,2,3,0,3,0,0,158,1
"Te Atatū","Henderson","Henderson North School, 14 Norval Road","Regular",4,0,1,6,0,85,0,42,0,8,1,1,0,0,0,3,0,151,0
"Te Atatū","Henderson","Henderson Primary School, 13 Montel Avenue","Regular",8,0,0,5,0,43,0,20,2,3,0,0,0,0,0,1,0,82,1
"Te Atatū","Henderson","Henderson South School, 24 Garelja Road","Regular",4,1,0,5,0,63,0,15,1,8,0,0,0,0,0,1,2,100,2
"Te Atatū","Henderson","Henderson Valley Primary School, 389 Henderson Valley Road","Regular",0,0,0,0,0,12,0,4,1,1,0,0,0,1,0,0,0,19,0
"Te Atatū","Henderson","Holy Cross Catholic School, 8 Lavelle Road","Regular",2,0,0,3,0,28,0,22,1,5,0,0,0,1,0,1,0,63,3
"Te Atatū","Henderson","Te Pai Centre Waitākere Netball, 31-35 Te Pai Place","Regular",12,1,0,15,0,137,4,51,4,12,0,1,0,1,1,0,0,239,1
"Te Atatū","Henderson","Waitākere College, 42 Rathgar Road (Gate 2)","Regular",18,2,0,4,0,239,4,76,3,11,1,4,0,1,2,3,0,368,7
"Te Atatū","Henderson","West City Mall, Level 1 (former Life Pharmacy shop), 7 Catherine Street","Regular",10,3,2,16,0,215,3,113,8,14,0,1,0,0,2,3,0,390,4
"Te Atatū","Lincoln North","Pomaria Primary School, 33a Pomaria Road","Regular",16,8,1,3,0,137,3,53,2,6,1,1,0,1,1,4,1,238,3
"Te Atatū","Massey","Don Buck Primary School, Massey West, 124 Don Buck Road","Regular",1,0,0,1,0,28,0,14,1,1,0,0,0,0,0,0,0,46,1
"Te Atatū","Massey","Massey Community Hub Massey Matters, Massey West, 385 Don Buck Road","Regular",3,0,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,27,1
"Te Atatū","Massey","Massey High School, Massey West, 274 Don Buck Road","Regular",3,0,0,3,0,21,0,6,0,1,0,0,0,0,0,0,0,34,3
"Te Atatū","Massey","Massey Methodist Church, Massey West, 112 Waimumu Road","Regular",1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,8,0
"Te Atatū","Massey","Massey Presbyterian Church Hall, 510 Don Buck Road","Regular",1,1,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,11,0
"Te Atatū","Massey","Royal Road School, 112 Royal Road","Regular",0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,5,1
"Te Atatū","Massey","Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street","Regular",6,0,0,4,0,23,0,8,2,0,0,0,0,0,0,0,0,43,1
"Te Atatū","New Lynn","Lynn Mall (former House of Travel shop), 3058 Great North Road","Regular",0,3,1,3,0,14,1,8,1,0,0,0,0,0,0,0,0,31,0
"Te Atatū","Newmarket","Newmarket Mall, S212, Level 2, 309 Broadway","Regular",0,0,0,1,0,11,0,6,0,0,0,0,0,0,0,0,0,18,0
"Te Atatū","Ranui","Birdwood School, 23 Karepo Crescent","Regular",6,4,1,6,0,138,0,29,0,8,0,0,0,0,0,0,0,192,1
"Te Atatū","Ranui","Ranui Primary School, 16a Ranui Station Road","Regular",9,5,0,18,0,287,4,81,6,22,0,2,0,0,0,4,0,438,5
"Te Atatū","Sunnyvale","Kelston Community Centre, 126 Awaroa Road","Regular",1,0,0,2,0,14,1,3,1,1,0,0,0,0,0,0,0,23,1
"Te Atatū","Sunnyvale","Sunnyvale Primary School, 34 Ribblesdale Road","Regular",0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,6,0
"Te Atatū","Swanson","Swanson School, 703 Swanson Road","Regular",33,6,1,29,0,200,4,110,6,13,2,1,0,0,0,9,0,414,3
"Te Atatū","Te Atatū Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road","Regular",13,1,1,13,0,112,4,99,3,14,0,0,0,0,0,2,0,262,3
"Te Atatū","Te Atatū Peninsula","Matipo Primary School, 63b Matipo Road","Regular",25,1,0,36,0,118,2,80,6,5,0,3,0,1,0,8,0,285,2
"Te Atatū","Te Atatū Peninsula","Peninsula Primary School, 22 Waipani Road","Regular",24,0,3,23,0,126,0,58,5,4,0,0,0,1,1,2,1,248,4
"Te Atatū","Te Atatū Peninsula","Rutherford Primary School, 2 Kotuku Street","Regular",12,1,0,9,0,88,1,56,3,6,0,1,0,0,0,4,0,181,0
"Te Atatū","Te Atatū Peninsula","Te Atatū Intermediate School, 8-12 Harbour View Road","Regular",50,7,0,51,0,317,3,203,5,23,0,0,0,0,0,8,0,667,2
"Te Atatū","Te Atatū South","Edmonton Primary School, Corner School & Edmonton Roads","Regular",15,1,0,20,0,169,3,80,3,10,0,2,0,0,0,0,0,303,0
"Te Atatū","Te Atatū South","Flanshaw Road School, 51 Flanshaw Road","Regular",30,4,2,19,0,194,4,87,8,16,0,0,0,0,2,9,0,375,3
"Te Atatū","Te Atatū South","Freyberg Community School, 60 Roberts Road","Regular",25,3,1,29,0,189,2,110,5,11,1,0,0,0,1,8,0,385,3
"Te Atatū","Te Atatū South","Rangeview Intermediate School, 5 Keru Place","Regular",14,3,2,8,0,89,1,53,3,4,0,0,0,0,0,2,0,179,0
"Te Atatū","Te Atatū South","Tirimoana School, 34 Kokiri Street","Regular",32,0,0,27,0,180,0,96,4,9,0,1,0,1,5,3,0,358,2
"Te Atatū","Western Heights","Sturges West Community House, 58 Summerland Drive","Regular",36,3,0,18,0,272,3,202,13,11,0,4,0,1,2,5,0,570,5
"Te Atatū","Western Heights","Western Heights School, 126 Sturges Road","Regular",46,2,0,27,0,317,5,250,7,14,0,0,0,0,3,4,0,675,1
"Te Atatū","Whenuapai","NorthWest Mall, Shop 20A, Maki Street","Regular",1,0,1,6,0,28,0,7,0,0,0,0,0,0,1,0,1,45,0
