Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Auckland Central","Point Chevalier","Church@onetwosix Hall, 126 Point Chevalier Road",0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,8,0
"Auckland Central","Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",63,3,1,102,0,289,5,211,0,15,0,0,0,2,0,10,1,702,2
"Auckland Central","Ponsonby","Ponsonby Primary School, 44 Curran Street",44,0,0,18,0,68,0,102,0,1,0,0,0,0,0,4,0,237,0
"Auckland Central","Ponsonby","St Mary's College, 11 New Street",27,0,1,20,0,96,1,106,1,7,0,1,0,2,0,5,0,267,1
"Auckland Central","Waiheke Island","Ōmiha Memorial Hall, 2 Glen Brook Road",7,3,0,15,0,66,1,26,0,5,0,0,0,0,0,0,0,123,0
"Auckland Central","Waiheke Island","Onetangi Residents Association Hall, Corner Waiheke Road & Third Avenue",22,1,0,36,0,103,1,45,4,12,1,0,0,0,0,3,0,228,1
"Auckland Central","Waiheke Island","Ostend Memorial Hall, 76 Ostend Road",12,10,3,35,0,134,0,42,1,11,0,0,0,0,0,3,0,251,1
"Auckland Central","Waiheke Island","Palm Beach Hall, 74 Palm Road",7,0,0,26,0,66,0,29,0,6,1,0,0,0,0,1,0,136,2
"Auckland Central","Waiheke Island","Surfdale Community Hall, 6 Hamilton Road",6,2,0,20,0,49,0,10,1,2,0,0,0,1,0,1,0,92,0
"Auckland Central","Waiheke Island","Waiheke High School, 11 Donald Bruce Road",6,2,1,16,0,42,0,21,0,4,0,2,0,0,0,3,0,97,0
"Auckland Central","Waiheke Island","Waiheke Library, 131 Ocean View Road",16,3,1,38,0,132,1,60,0,14,0,0,0,1,0,3,1,270,1
"Auckland Central","Waiheke Island","Waiheke Resources Trust, Mako Street",6,0,0,12,0,31,0,13,0,1,0,0,0,0,0,3,0,66,0
"Auckland Central","Westmere","Hawke Sea Scouts Hall, 55 West End Road",7,0,0,14,0,18,0,15,0,1,0,0,0,0,0,1,0,56,0
"Auckland Central","Westmere","Westmere School, 81 Garnet Road",2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0
"Banks Peninsula","Addington","Addington School, Entrance off Somerset Crescent",2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0
"Banks Peninsula","Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",33,6,0,22,0,87,0,87,0,3,0,0,0,0,0,10,0,248,0
"Banks Peninsula","Beckenham","Beckenham Te Kura o Pūroto (School Hall), 71 Sandwich Road",3,1,0,15,0,52,0,14,3,3,3,0,0,0,0,0,0,94,0
"Banks Peninsula","Beckenham","St Peter's Parish Centre Hall, 11 Fisher Avenue",2,0,0,9,0,15,0,11,2,1,1,0,0,0,0,3,0,44,0
"Banks Peninsula","Bromley","Bromley School Hall, 33 Keighleys Road",11,0,1,3,0,36,0,16,5,0,0,0,0,0,0,1,0,73,1
"Banks Peninsula","Bromley","Union Church Hall, 378 Linwood Avenue",2,3,1,8,0,77,0,16,5,4,0,2,0,0,0,1,0,119,2
"Banks Peninsula","Cashmere","Cashmere Primary School Hall, 135 Hackthorne Road",41,5,1,67,0,157,1,143,9,11,0,0,0,1,0,8,0,444,1
"Banks Peninsula","Cashmere","Landsdowne Community Centre, 8 Landsdowne Terrace",26,3,0,44,0,138,5,111,3,5,0,0,2,1,0,12,0,350,0
"Banks Peninsula","Cass Bay","TS Godley (former Navy League Drill Hall), 64 Governors Bay Road",10,0,0,15,0,44,0,14,0,3,0,0,0,0,1,4,0,91,0
"Banks Peninsula","Cass Bay","Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street",2,0,0,2,0,5,1,6,0,0,0,0,0,0,0,1,0,17,0
"Banks Peninsula","Cass Bay","Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue",0,0,0,3,0,19,0,3,0,0,0,0,0,0,0,1,0,26,0
"Banks Peninsula","Cass Bay","South City Shopping Mall, 555 Colombo Street",1,3,0,7,0,35,0,9,0,0,0,0,0,0,0,1,0,56,0
"Banks Peninsula","Cass Bay","Transitional Cathedral, 234 Hereford Street",0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,10,0
"Banks Peninsula","Cass Bay","Tūranga Library (Spark Place Ground floor), 60 Cathedral Square",3,0,0,3,0,5,1,1,0,0,0,0,0,0,0,0,0,13,0
"Banks Peninsula","Diamond Harbour","Diamond Harbour Community Hall, 2A Waipapa Avenue",15,0,0,54,0,92,3,32,4,7,0,0,0,0,0,7,0,214,2
"Banks Peninsula","Diamond Harbour","Diamond Harbour School Hall, 13 Hunters Road",30,4,2,60,0,162,3,79,3,4,0,0,0,0,0,2,0,349,2
"Banks Peninsula","Duvauchelle","Duvauchelle Community Centre, 6039 Christchurch Akaroa Road",29,1,1,17,0,41,1,61,1,4,0,0,0,0,0,1,0,157,1
"Banks Peninsula","Governors Bay","Governors Bay Community Centre, 1 Cresswell Avenue",34,3,0,51,0,124,1,61,5,7,0,3,0,0,0,2,0,291,1
"Banks Peninsula","Halswell","Aidanfield Christian School, 2 Nash Road",0,1,0,1,0,24,0,7,2,0,0,1,0,0,0,0,0,36,0
"Banks Peninsula","Halswell","Halswell School Hall, Corner Kennedys Bush & School Roads",27,2,0,31,0,147,2,131,5,3,0,0,0,0,0,7,0,355,0
"Banks Peninsula","Halswell","Knights Stream School, 1 Killarney Avenue",8,0,0,2,0,16,0,18,1,2,0,0,0,0,0,1,0,48,0
"Banks Peninsula","Halswell","Oaklands School Hall, 37 Cunningham Place",13,0,1,26,0,106,1,57,12,10,0,0,0,0,0,5,0,231,0
"Banks Peninsula","Halswell","Saint Peter & Paul's Church Hall Halswell (formerly Our Lady of the Apostles), 56 Nicholls Road",28,4,1,16,0,159,1,120,14,11,0,0,0,0,0,7,0,361,4
"Banks Peninsula","Halswell","St Mary's Anglican Church Hall, 329 Halswell Road",56,3,0,34,0,229,3,174,11,16,1,0,0,0,0,9,0,536,2
"Banks Peninsula","Hanmer Springs","Hanmer Springs School Korimako Room, 8 Cheltenham Street",2,0,0,1,0,4,0,9,1,1,0,0,0,0,0,0,0,18,0
"Banks Peninsula","Heathcote Valley","Heathcote Valley School Hall, 61 Bridle Path Road",30,3,0,61,0,222,0,99,6,14,1,0,0,0,0,8,0,444,2
"Banks Peninsula","Hoon Hay","Cashmere Early Learning Centre, 192 Cashmere Road",30,1,1,38,0,146,0,133,8,13,0,0,0,0,0,12,0,382,0
"Banks Peninsula","Hoon Hay","Hoon Hay Presbyterian Church Hall, 5 Downing Street",0,0,1,0,0,4,1,6,0,0,1,0,0,0,0,2,0,15,0
"Banks Peninsula","Hoon Hay","Our Lady of the Assumption, 89A Sparks Road",15,0,0,6,0,75,1,24,3,6,0,1,0,0,0,6,0,137,1
"Banks Peninsula","Hoon Hay","Rowley Avenue School Hall, 48 Rowley Avenue",0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,9,0
"Banks Peninsula","Hoon Hay","Spreydon School, 50 Hoon Hay Road entrance",1,0,0,1,0,5,0,5,0,1,0,0,0,0,0,1,0,14,0
"Banks Peninsula","Huntsbury","Huntsbury Community Centre, 30H Huntsbury Avenue",10,3,0,45,0,108,1,59,4,6,0,0,0,0,0,4,0,240,0
"Banks Peninsula","Lincoln","Lincoln Event Centre, 15 Meijer Drive",2,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,10,0
"Banks Peninsula","Linwood","Eastgate Mall, Upper Level, 20 Buckleys Road",7,2,0,11,0,55,1,25,2,1,0,0,0,0,0,3,1,108,0
"Banks Peninsula","Linwood","Linwood Avenue School Hall, 260 Linwood Avenue",1,1,0,0,0,13,0,5,2,1,0,0,0,0,0,0,0,23,0
"Banks Peninsula","Linwood","St Chad's Anglican Church Hall, 1 Carnarvon Street (corner Buckleys Road)",0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0
"Banks Peninsula","Little River","Little River School, 46 Western Valley Road",32,3,1,63,0,120,0,68,5,17,0,3,0,0,0,10,0,322,0
"Banks Peninsula","Lower Cashmere","Thorrington School Hall, 22A Colombo Street",29,3,1,45,0,176,0,117,4,16,1,0,0,0,1,5,0,398,1
"Banks Peninsula","Lyttelton","Lyttelton Primary School Office, 34 Oxford Street",15,4,1,85,0,123,0,40,1,2,0,0,0,0,0,3,0,274,0
"Banks Peninsula","Lyttelton","Port Hills Uniting Parish, 40 Winchester Street",10,1,0,40,0,65,3,16,1,4,0,0,0,0,0,1,0,141,3
"Banks Peninsula","Motukarara","Motukarara Community Hall, Park Road",11,0,0,0,0,13,0,19,1,1,0,0,0,0,0,0,0,45,0
"Banks Peninsula","Mount Pleasant","Mount Pleasant Yacht Club, 2 Main Road (Scott Park)",32,2,0,20,0,70,0,68,3,3,0,0,1,0,0,4,0,203,0
"Banks Peninsula","Mount Pleasant","Mt Pleasant School Hall, 82 Major Hornbrook Road",33,4,0,44,0,144,0,115,2,10,0,0,0,0,0,5,0,357,2
"Banks Peninsula","Opawa","Opawa Community Church, 1-5 Aynsley Terrace (corner of Opawa Road & Aynsley Terrace)",14,1,1,35,0,103,0,61,7,8,0,1,1,0,0,5,0,237,2
"Banks Peninsula","Opawa","Opawa School Hall, 30 Ford Road",0,1,0,14,0,27,0,9,0,0,0,0,0,0,0,0,0,51,0
"Banks Peninsula","Opawa","St Mark's Church Hall, Corner Opawa Road & Vincent Place",5,0,0,4,0,29,0,15,1,2,0,0,0,0,0,2,0,58,1
"Banks Peninsula","Papanui","Northlands Mall, near Farmers, 55 Main North Road",1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0
"Banks Peninsula","Papanui","Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road",0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,8,0
"Banks Peninsula","Phillipstown","Te Wai Pounamu Centre, 290 Ferry Road",0,1,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0
"Banks Peninsula","Redcliffs","Redcliffs School Hall, 113 Beachville Road",32,2,1,26,0,91,0,85,2,6,0,1,0,0,0,10,0,256,1
"Banks Peninsula","Redcliffs","St Andrew's Anglican Church, 148 Main Road",24,2,0,34,0,122,2,80,7,5,0,0,0,0,0,5,0,281,1
"Banks Peninsula","Riccarton","Wharenui School Hall, 32 Matipo Street",2,0,0,2,0,11,0,4,0,1,0,0,0,0,0,0,0,20,0
"Banks Peninsula","Shirley","The Palms Mall - Shop (beside Food Court), Corner Marshland & New Brighton Roads",1,0,1,1,0,5,0,3,1,0,0,0,0,0,0,0,0,12,0
"Banks Peninsula","Somerfield","Cashmere High School, Room M10, 172 Rose Street",24,2,0,30,0,129,0,62,1,5,0,0,0,1,0,8,1,263,2
"Banks Peninsula","Somerfield","Pioneer Recreation & Sport Centre Lounge, 1st Floor, 75 Lyttelton Street",34,4,0,56,0,144,7,74,9,7,0,0,0,1,0,13,0,349,1
"Banks Peninsula","Somerfield","Somerfield School Hall, 42 Studholme Street",23,4,0,53,0,162,2,64,4,16,1,0,0,1,0,12,0,342,0
"Banks Peninsula","Spreydon","Barrington Mall Shop (former NZ Post shop), 256 Barrington Street",6,4,0,12,0,59,1,26,3,4,0,0,0,2,0,4,0,121,0
"Banks Peninsula","Spreydon","Christchurch South Intermediate Hall, 204 Selwyn Street",6,2,0,10,0,31,0,17,0,3,0,0,0,0,0,3,0,72,0
"Banks Peninsula","Spreydon","Spreydon Baptist Church Cobham St Hall, 51 Cobham Street",2,0,0,5,0,14,0,6,1,0,0,0,0,0,0,0,0,28,0
"Banks Peninsula","Spreydon","St Martin's Church, Neave Room, 50 Lincoln Road",0,0,0,1,0,6,0,7,0,0,0,0,0,0,0,1,0,15,0
"Banks Peninsula","Spreydon","St Nicholas' Church Hall, 231 Barrington Street",4,1,0,3,0,22,0,13,1,3,0,0,0,0,0,6,0,53,0
"Banks Peninsula","St Martins","Hillview Christian Junior School, 150 Wilsons Road",14,6,0,31,0,156,5,63,11,7,0,2,0,0,0,9,0,304,0
"Banks Peninsula","St Martins","St Martins School Hall, 24 Albert Terrace (opposite Roscoe Street)",30,3,0,75,0,225,2,78,10,8,1,2,0,0,0,20,0,454,2
"Banks Peninsula","Sumner","Sumner School, 21 Colenso Street (Dryden Street West entrance)",75,4,1,85,0,250,1,168,4,16,0,0,0,1,0,18,0,623,3
"Banks Peninsula","Sydenham","Powell Fenwick Building, 383 Colombo Street",0,1,0,12,0,18,0,5,1,1,0,0,0,0,0,3,0,41,0
